Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4300,4300,4300,06 Oct 2022
5201,5201,5201,05 Oct 2022
5001,5001,5001,04 Oct 2022
3737,3737,3737,01 Oct 2022
5151,5151,5151,30 Sep 2022
4575,4575,4575,29 Sep 2022
4851,4851,4851,28 Sep 2022
3300,3300,3300,23 Sep 2022
3810,3810,3810,20 Sep 2022
3708,3708,3708,17 Sep 2022
5300,5300,5300,16 Sep 2022
3560,3560,3560,15 Sep 2022
4274,4274,4274,13 Sep 2022
5300,5300,5300,08 Sep 2022
3500,3500,3500,07 Sep 2022
2775,2775,2775,06 Sep 2022
3960,3960,3960,05 Sep 2022
2975,2975,2975,04 Sep 2022
5851,5851,5851,03 Sep 2022
3810,3810,3810,02 Sep 2022
3960,3960,3960,30 Aug 2022
3810,3810,3810,29 Aug 2022
5801,5801,5801,28 Aug 2022
4901,4901,4901,27 Aug 2022
4439,4439,4439,26 Aug 2022
2975,2975,2975,25 Aug 2022
4400,4400,4400,24 Aug 2022
3425,3425,3425,23 Aug 2022
4825,4825,4825,22 Aug 2022
4439,4439,4439,21 Aug 2022
4851,4851,4851,20 Aug 2022
4901,4901,4901,19 Aug 2022
3560,3560,3560,18 Aug 2022
3642,3642,3642,17 Aug 2022
3592,3592,3592,16 Aug 2022
4225,4225,4225,15 Aug 2022
4439,4439,4439,14 Aug 2022
3150,3150,3150,13 Aug 2022
3400,3400,3400,12 Aug 2022
3560,3560,3560,11 Aug 2022
3960,3960,3960,10 Aug 2022
5501,5501,5501,09 Aug 2022
3851,3851,3851,08 Aug 2022
4439,4439,4439,07 Aug 2022
3185,3185,3185,06 Aug 2022
3425,3425,3425,05 Aug 2022
3401,3401,3401,04 Aug 2022
3535,3535,3535,03 Aug 2022
4275,4275,4275,02 Aug 2022
3035,3035,3035,01 Aug 2022
3710,3710,3710,31 Jul 2022
3535,3535,3535,30 Jul 2022
3640,3640,3640,29 Jul 2022
3560,3560,3560,28 Jul 2022
3960,3960,3960,27 Jul 2022
3401,3401,3401,26 Jul 2022
2975,2975,2975,25 Jul 2022
3201,3201,3201,23 Jul 2022
3100,3100,3100,22 Jul 2022
4300,4300,4300,21 Jul 2022
3425,3425,3425,20 Jul 2022
3288,3288,3288,19 Jul 2022
4851,4851,4851,18 Jul 2022
4801,4801,4801,17 Jul 2022
3592,3592,3592,16 Jul 2022
5901,5901,5901,15 Jul 2022
3905,3905,3905,14 Jul 2022
3710,3710,3710,13 Jul 2022
3200,3200,3200,12 Jul 2022
3201,3201,3201,11 Jul 2022
6201,6201,6201,10 Jul 2022
3700,3700,3700,09 Jul 2022
3100,3100,3100,08 Jul 2022
3400,3400,3400,07 Jul 2022
3425,3425,3425,06 Jul 2022
3560,3560,3560,05 Jul 2022
3592,3592,3592,04 Jul 2022
5900,5900,5900,03 Jul 2022
2975,2975,2975,01 Jul 2022
3870,3870,3870,30 Jun 2022
3535,3535,3535,29 Jun 2022
3200,3200,3200,28 Jun 2022
4801,4801,4801,26 Jun 2022
3401,3401,3401,25 Jun 2022
4300,4300,4300,24 Jun 2022
4601,4601,4601,23 Jun 2022
3560,3560,3560,22 Jun 2022
4401,4401,4401,21 Jun 2022
3185,3185,3185,20 Jun 2022
5501,5501,5501,19 Jun 2022
3200,3200,3200,18 Jun 2022
3592,3592,3592,17 Jun 2022
3100,3100,3100,15 Jun 2022
5501,5501,5501,14 Jun 2022
4350,4350,4350,13 Jun 2022
3642,3642,3642,12 Jun 2022
3600,3600,3600,11 Jun 2022
3500,3500,3500,10 Jun 2022
3700,3700,3700,09 Jun 2022
3100,3100,3100,08 Jun 2022
3185,3185,3185,07 Jun 2022
3400,3400,3400,04 Jun 2022
3200,3200,3200,03 Jun 2022
5900,5900,5900,02 Jun 2022
4225,4225,4225,01 Jun 2022
2970,2970,2970,31 May 2022
3851,3851,3851,30 May 2022
2992,2992,2992,29 May 2022
4300,4300,4300,28 May 2022
3520,3520,3520,27 May 2022
4875,4875,4875,26 May 2022
5201,5201,5201,25 May 2022
3313,3313,3313,24 May 2022
4850,4850,4850,23 May 2022
3288,3288,3288,22 May 2022
3592,3592,3592,21 May 2022
4300,4300,4300,20 May 2022
3065,3065,3065,19 May 2022
3185,3185,3185,18 May 2022
3288,3288,3288,17 May 2022
3770,3770,3770,16 May 2022
3640,3640,3640,15 May 2022
2985,2985,2985,14 May 2022
3065,3065,3065,11 May 2022
3640,3640,3640,10 May 2022
4851,4851,4851,09 May 2022
4851,4851,4851,08 May 2022
3750,3750,3750,07 May 2022
2925,2925,2925,06 May 2022
4295,4295,4295,05 May 2022
4439,4439,4439,04 May 2022
4275,4275,4275,03 May 2022
4400,4400,4400,02 May 2022
5201,5201,5201,01 May 2022
3313,3313,3313,30 Apr 2022
5151,5151,5151,29 Apr 2022
3401,3401,3401,28 Apr 2022
3288,3288,3288,27 Apr 2022
3100,3100,3100,26 Apr 2022
2775,2775,2775,25 Apr 2022
4300,4300,4300,24 Apr 2022
3401,3401,3401,23 Apr 2022
4800,4800,4800,22 Apr 2022
3288,3288,3288,21 Apr 2022
4295,4295,4295,20 Apr 2022
3560,3560,3560,19 Apr 2022
4275,4275,4275,18 Apr 2022
4225,4225,4225,17 Apr 2022
3288,3288,3288,16 Apr 2022
2985,2985,2985,15 Apr 2022
3770,3770,3770,14 Apr 2022
4300,4300,4300,13 Apr 2022
3401,3401,3401,12 Apr 2022
3642,3642,3642,11 Apr 2022
3592,3592,3592,10 Apr 2022
3905,3905,3905,09 Apr 2022
3600,3600,3600,08 Apr 2022
3160,3160,3160,07 Apr 2022
3355,3355,3355,06 Apr 2022
3560,3560,3560,05 Apr 2022
4275,4275,4275,04 Apr 2022
4600,4600,4600,03 Apr 2022
3905,3905,3905,02 Apr 2022
3520,3520,3520,01 Apr 2022
2858,2858,2858,31 Mar 2022
2900,2900,2900,30 Mar 2022
3710,3710,3710,29 Mar 2022
3750,3750,3750,28 Mar 2022
3017,3017,3017,27 Mar 2022
3592,3592,3592,26 Mar 2022
4275,4275,4275,25 Mar 2022
3905,3905,3905,24 Mar 2022
5201,5201,5201,23 Mar 2022
3160,3160,3160,22 Mar 2022
4295,4295,4295,21 Mar 2022
3710,3710,3710,20 Mar 2022
3401,3401,3401,19 Mar 2022
4300,4300,4300,17 Mar 2022
3642,3642,3642,16 Mar 2022
2900,2900,2900,15 Mar 2022
3870,3870,3870,14 Mar 2022
4439,4439,4439,13 Mar 2022
2885,2885,2885,12 Mar 2022
3870,3870,3870,11 Mar 2022
4275,4275,4275,10 Mar 2022
3355,3355,3355,09 Mar 2022
3201,3201,3201,08 Mar 2022
2885,2885,2885,07 Mar 2022
4900,4900,4900,06 Mar 2022
3500,3500,3500,05 Mar 2022
2975,2975,2975,04 Mar 2022
3288,3288,3288,03 Mar 2022
