Unnamed: 0,Date,Centre_Name,Price
25970,07-12-11,MUMBAI,1900.0
25971,07-12-11,NAGPUR,1700.0
26019,08-12-11,MUMBAI,1900.0
26020,08-12-11,NAGPUR,1700.0
26068,09-12-11,MUMBAI,1900.0
26069,09-12-11,NAGPUR,1700.0
26117,12-12-11,MUMBAI,1850.0
26118,12-12-11,NAGPUR,1700.0
26166,13-12-11,MUMBAI,1850.0
26167,13-12-11,NAGPUR,1625.0
26215,14-12-11,MUMBAI,1860.0
26216,14-12-11,NAGPUR,1625.0
26264,15-12-11,MUMBAI,1860.0
26265,15-12-11,NAGPUR,1650.0
26313,16-12-11,MUMBAI,1900.0
26314,16-12-11,NAGPUR,1650.0
26362,19-12-11,MUMBAI,1925.0
26363,19-12-11,NAGPUR,1650.0
26411,20-12-11,MUMBAI,1925.0
26412,20-12-11,NAGPUR,1658.0
26460,21-12-11,MUMBAI,1925.0
26461,21-12-11,NAGPUR,1658.0
26509,22-12-11,MUMBAI,1925.0
26510,22-12-11,NAGPUR,1658.0
26558,23-12-11,MUMBAI,1925.0
26559,23-12-11,NAGPUR,1658.0
26607,26-12-11,MUMBAI,1925.0
26608,26-12-11,NAGPUR,1658.0
26656,27-12-11,MUMBAI,1925.0
26657,27-12-11,NAGPUR,1658.0
26705,28-12-11,MUMBAI,1925.0
26706,28-12-11,NAGPUR,1667.0
26754,29-12-11,MUMBAI,1925.0
26755,29-12-11,NAGPUR,1667.0
26803,30-12-11,MUMBAI,1925.0
26804,30-12-11,NAGPUR,1667.0
26852,02-01-12,MUMBAI,1925.0
26853,02-01-12,NAGPUR,1667.0
26901,03-01-12,MUMBAI,1925.0
26902,03-01-12,NAGPUR,1667.0
26950,04-01-12,MUMBAI,1925.0
26951,04-01-12,NAGPUR,1667.0
26999,05-01-12,MUMBAI,1925.0
27000,05-01-12,NAGPUR,1667.0
27048,06-01-12,MUMBAI,1925.0
27049,06-01-12,NAGPUR,1683.0
27097,09-01-12,MUMBAI,1925.0
27098,09-01-12,NAGPUR,1700.0
27146,10-01-12,MUMBAI,1925.0
27147,10-01-12,NAGPUR,1700.0
27195,11-01-12,MUMBAI,1925.0
27196,11-01-12,NAGPUR,1717.0
27244,12-01-12,MUMBAI,1925.0
27245,12-01-12,NAGPUR,1717.0
